UPC,Item,Description,Dept,Price,C/U,Case,5-Case
5041595893,95893,XX-12102 GASKET FO R MPC3,273,12.5,0,0,0
5078095544,95544,"XX-129-2049,16X16 BAF FIL",273,34.25,0,0,0
5013895656,95656,XX-13005 BISCUIT C UTTER,273,6.6,0,0,0
5130995418,95418,XX-13150020 WATER BOTTLE,273,19.61,0,0,0
5130995691,95691,"XX-13150020, WATER BOTTLE",273,19.41,0,0,0
5130995328,95328,XX-13150020-33.875Z BOTTLE,273,19.61,0,0,0
5078095983,95983,XX-133-1009 GRIDDLE TOP,273,108.89,0,0,0
5078095829,95829,XX-133-1074 FILTER PAPER,273,80,0,0,0
5078095741,95741,XX-137-1040 ROCKER KNIFE,273,58.44,0,0,0
5078095490,95490,"XX-138-1052, WALL THERM.",273,25.13,0,0,0
5078095444,95444,XX-138-1168-THERMOMETER,273,145,0,0,0
5401995636,95636,XX-14-408L ROYAL F AUCET,273,103.5,0,0,0
5401995655,95655,"XX-14-802L,G-NECK FAUCET",273,117.56,0,0,0
5078030149,2730149,XX-141-1086 BOBRICK ROLLER,273,2.64,0,0,0
5078095397,95397,XX-141-1186 CAR SEAT STAND,273,100.79,0,0,0
5078095763,95763,XX-141-2038 CIG RECEPTACLE,273,67.6,0,0,0
5078030007,2730007,XX-141-2038 CIGARETTE REC.,273,68,0,0,0
5078030329,2730329,XX-141-2118 KK CHANING STN,273,399.99,0,0,0
5041595840,95840,XX-14200 VENT CAP,273,1.49,0,0,0
5041595996,95996,XX-14200 VENT CAP CAMCAR,273,1,0,0,0
5041530064,2730064,"XX-14200 VENT CAP, WHITE",273,1,0,0,0
8230330155,2730155,XX-1445GLS CHAIR,273,26.99,0,0,0
5078095570,95570,"XX-148-1016, GASKET",273,44.28,0,0,0
5041595894,95894,XX-14PP190 FOOD PA N FULL,273,7.41,0,0,0
5041595640,95640,"XX-14PP190 PAN, FU LL 4""W",273,8,0,0,0
5401930266,2730266,XX-15-325L FAUCET,273,98.99,0,0,0
5401996053,96053,XX-15-814L FCT DEC KMNT 1,273,125,0,0,0
5078095740,95740,"XX-150-4532, UNIVERSAL KEY",273,1,0,0,0
3056595634,95634,"XX-15000 INSTACUT 1/4""",273,179.28,0,0,0
3056596061,96061,XX-15059 ICUT3.5 REPL PACK,273,139.36,0,0,0
3056595814,95814,XX-15062 BLADE 1/4 IN,273,68.29,0,0,0
3056595758,95758,"XX-15062 BLADE ASS'Y 1/4""",273,64.63,0,0,0
3056595721,95721,"XX-15063 BLADE ASSM 3/8""",273,61.58,0,0,0
5440896122,96122,XX-15596 RETAINER WRENCH,273,8.31,0,0,0
5130930129,2730129,XX-15733 CORDIAL 3 .7 OZ.,273,20.41,0,0,0
5130995718,95718,"XX-15733, 3.7Z ESP RESSO",273,20.41,0,0,0
5440895732,95732,"XX-15978 ADVANCE C ONT,48",273,105,0,0,0
5401995993,95993,XX-16-127 SERVICE FAUCET,273,120,0,0,0
5401995860,95860,XX-16-127 SERVICE FAUCET,273,119.99,0,0,0
5401995697,95697,XX-16-127 SERVICE FAUCET,273,124.95,0,0,0
5401995922,95922,XX-16-127 SERVICE FAUCET,273,97.81,0,0,0
5130930242,2730242,"XX-1623 BEER GLASS , 23 O",273,32.75,0,0,0
5041530100,2730100,XX-16C414151 CAMRA CK 16C,273,26,0,0,0
5041530130,2730130,XX-16PP190 1/1 SIZ E PP 6,273,10.28,0,0,0
5041595717,95717,XX-16PP190 FOOD PA N TRAN,273,9.87,0,0,0
5078096085,96085,XX-171-1067 DISP BOTTLE(9),273,55,0,0,0
5078030087,2730087,XX-171-1067 DISP BOTTLE(9),273,60.07,0,0,0
5078030019,2730019,XX-171-1067 DISP BOTTLE9PK,273,62.58,0,0,0
5078095874,95874,XX-171-1067 DISPNSR BOT9PK,273,60.76,0,0,0
5078095791,95791,XX-171-1067 SAUCE DISP BOT,273,60.76,0,0,0
5078095941,95941,XX-171-1068 PISTON,273,41.59,0,0,0
5078095939,95939,XX-171-1070 RETAINER,273,21.06,0,0,0
5078096086,96086,XX-171-1070 RETAINER (10),273,18.05,0,0,0
5078095940,95940,XX-171-1071 DIFFUSER,273,19.16,0,0,0
5078096087,96087,XX-171-1071 DIFFUSER (10),273,17.01,0,0,0
5078030020,2730020,XX-171-1071 DIFFUSER 10PK,273,19.94,0,0,0
5078095685,95685,XX-171-1175 SAUCE GUN 1OZ,273,108,0,0,0
5078096106,96106,XX-171-1175 SAUCE GUN 1OZ,273,111,0,0,0
5130995963,95963,XX-1788489 MODERNO 10.5 P,273,43.3,0,0,0
5401995753,95753,XX-18-708L SPSVR P RERINS,273,347.24,0,0,0
5401930142,2730142,"XX-18-GS24 DRAINBO ARD, 2",273,349.99,0,0,0
7048295856,95856,"XX-1806 GOLDORCHID 6""PLAT",273,44.98,0,0,0
5440395746,95746,XX-1807 LID FOR GLASS JAR,273,5.47,0,0,0
3054495609,95609,XX-18213-SANDWICH SPRDR,273,7.5,0,0,0
